UNIVERSO,NIVEL_1,NIVEL_2,NIVEL_3,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,UA - DUCHAS E CHUVEIROS,UAA - CHUVEIROS,15,0,7902,3425709.309386,21540.000000,0.000000,0.000000,0.000000,159.039429,,,,0.000000,,,0.000000,1.040507
REDE_FISICA_SEM_LOJA93,S - TINTAS E QUIMICOS,SA - TINTAS,SAB - TINTAS MANIPULADAS,8,0,9058,3276249.893925,16112.000000,0.000000,0.000000,0.000000,203.342223,,,,0.000000,,,0.000000,0.995111
REDE_FISICA_SEM_LOJA93,S - TINTAS E QUIMICOS,SA - TINTAS,SAA - TINTAS ACRILICAS E PVA,23,0,11406,3233824.804000,19322.000000,0.000000,0.000000,0.000000,167.364911,,,,0.000000,,,0.000000,0.982225
REDE_FISICA_SEM_LOJA93,D - ELETROS,DA - AR E VENTILACAO,DAC - VENTILADORES DE TETO,7,0,3729,3128791.431101,11758.000000,0.000000,0.000000,0.000000,266.098948,,,,0.000000,,,0.000000,0.950322
REDE_FISICA_SEM_LOJA93,D - ELETROS,DA - AR E VENTILACAO,DAN - VENTILADORES DE PAREDE,2,0,2630,3084811.877384,12547.000000,0.000000,0.000000,0.000000,245.860515,,,,0.000000,,,0.000000,0.936964
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,UA - DUCHAS E CHUVEIROS,UAE - DUCHAS HIGIENICAS,4,0,4839,3076265.999149,16408.000000,0.000000,0.000000,0.000000,187.485739,,,,0.000000,,,0.000000,0.934369
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BA - COZINHAR,BAC - PANELAS DE PRESSAO,6,0,4788,2895544.440041,16019.000000,0.000000,0.000000,0.000000,180.756879,,,,0.000000,,,0.000000,0.879477
REDE_FISICA_SEM_LOJA93,"G - PORTAS, JANELAS E FECHADURAS",GC - FECHADURAS,GCC - FECHADURAS DIGITAIS,6,0,2580,2520884.717750,4381.000000,0.000000,0.000000,0.000000,575.413083,,,,0.000000,,,0.000000,0.765680
REDE_FISICA_SEM_LOJA93,"G - PORTAS, JANELAS E FECHADURAS",GC - FECHADURAS,GCA - FECHADURAS PARA PORTA,14,0,9120,2299018.450000,25264.000000,0.000000,0.000000,0.000000,90.999780,,,,0.000000,,,0.000000,0.698292
REDE_FISICA_SEM_LOJA93,D - ELETROS,DB - REFRIGERACAO,DBE - ADEGAS CLIMATIZADAS,14,0,956,1876134.992725,1216.000000,0.000000,0.000000,0.000000,1542.874172,,,,0.000000,,,0.000000,0.569847
REDE_FISICA_SEM_LOJA93,N - INDUSTRIAL E NEGOCIOS,NB - REFRIGERACAO E CONSERVACAO INDUSTRIAL,NBC - CONSERVADORES E FREEZERS,18,0,404,1747963.182000,551.000000,0.000000,0.000000,0.000000,3172.346973,,,,0.000000,,,0.000000,0.530917
REDE_FISICA_SEM_LOJA93,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCC - MICRO-ONDAS,7,0,1232,1647489.154500,2043.000000,0.000000,0.000000,0.000000,806.406830,,,,0.000000,,,0.000000,0.500400
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",KA - CAMA,KAH - TRAVESSEIROS,1,0,1988,1571732.344275,35731.000000,0.000000,0.000000,0.000000,43.987919,,,,0.000000,,,0.000000,0.477390
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BD - ORGANIZAR,BDP - ORGANIZADORES DE COZINHA,21,0,19275,1511231.292250,35197.000000,0.000000,0.000000,0.000000,42.936367,,,,0.000000,,,0.000000,0.459013
REDE_FISICA_SEM_LOJA93,F - FERRAMENTAS,FD - ACABAMENTO ELETRICO,FDA - ESMERILHADEIRAS E POLITRIZES ELETRICOS,5,0,2894,1491146.569250,5086.000000,0.000000,0.000000,0.000000,293.186506,,,,0.000000,,,0.000000,0.452913
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,UC - ACESSORIOS PARA BANHEIRO,UCF - TAPETES DE BANHEIRO,9,0,10624,1444899.192080,47102.000000,0.000000,0.000000,0.000000,30.675963,,,,0.000000,,,0.000000,0.438866
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BA - COZINHAR,BAA - CONJUNTOS DE PANELAS,6,0,2276,1435484.382500,3606.000000,0.000000,0.000000,0.000000,398.082191,,,,0.000000,,,0.000000,0.436006
REDE_FISICA_SEM_LOJA93,O - MOVEIS,OC - QUARTO,OCC - NICHOS E PRATELEIRAS,22,0,13064,1432711.280000,21494.000000,0.000000,0.000000,0.000000,66.656336,,,,0.000000,,,0.000000,0.435164
REDE_FISICA_SEM_LOJA93,V - DECORACAO,VF - CORTINAS,VFB - PERSIANAS,18,0,4355,1205096.613000,5931.000000,0.000000,0.000000,0.000000,203.186075,,,,0.000000,,,0.000000,0.366030
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,BA - COZINHAR,"BAD - FRIGIDEIRAS, BISTEQUEIRAS E PAELLERAS",21,0,8008,1199045.303181,13080.000000,0.000000,0.000000,0.000000,91.670130,,,,0.000000,,,0.000000,0.364192
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",KC - BANHO,KCB - TOALHA DE LAVABO E ROSTO,55,0,28014,1191475.993750,50475.000000,0.000000,0.000000,0.000000,23.605270,,,,0.000000,,,0.000000,0.361893
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",KC - BANHO,KCC - TOALHAS DE PISO,33,0,27680,1181532.596387,65034.000000,0.000000,0.000000,0.000000,18.167921,,,,0.000000,,,0.000000,0.358872
REDE_FISICA_SEM_LOJA93,O - MOVEIS,OE - BANHEIRO,OEA - GABINETES,7,0,1679,1133324.356500,1860.000000,0.000000,0.000000,0.000000,609.314170,,,,0.000000,,,0.000000,0.344230
REDE_FISICA_SEM_LOJA93,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAL - MESAS DE JANTAR,10,0,1325,1108450.297500,1533.000000,0.000000,0.000000,0.000000,723.059555,,,,0.000000,,,0.000000,0.336675
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,UC - ACESSORIOS PARA BANHEIRO,UCI - UTENSILIOS PARA BANHEIRO,31,0,13437,971814.833500,18779.000000,0.000000,0.000000,0.000000,51.750084,,,,0.000000,,,0.000000,0.295174
REDE_FISICA_SEM_LOJA93,W - LOUCAS E PIAS,WA - BACIAS E CAIXAS,WAC - CONJUNTO DE BACIA E CAIXA PARA ACOPLAR,5,0,426,957368.832000,644.000000,0.000000,0.000000,0.000000,1486.597565,,,,0.000000,,,0.000000,0.290786
REDE_FISICA_SEM_LOJA93,M - MAQUINAS E MOTORES,MF - AGRICOLAS E JARDINAGEM,MFC - MOTOSSERRAS E ELETROSERRAS,3,0,547,931258.293000,643.000000,0.000000,0.000000,0.000000,1448.302166,,,,0.000000,,,0.000000,0.282855
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",KA - CAMA,KAF - CAPAS E PROTETORES PARA COLCHAO,8,0,5489,917069.902000,12865.000000,0.000000,0.000000,0.000000,71.284097,,,,0.000000,,,0.000000,0.278546
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",KA - CAMA,KAC - COBERTORES E MANTAS,3,0,3400,894318.532381,15341.000000,0.000000,0.000000,0.000000,58.295974,,,,0.000000,,,0.000000,0.271636
REDE_FISICA_SEM_LOJA93,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAG - MESAS DE CANTO,6,0,3897,874343.421000,5407.000000,0.000000,0.000000,0.000000,161.705830,,,,0.000000,,,0.000000,0.265568
