UNIVERSO,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
REDE_COMPLETA,2729,261,1090390,482515748.115843,4641883.610000,79099121.470573,1398182.160000,41448400.608503,103.948265,56.572830,29.644493,26.928337,37650720.862070,47.599417,1.908376,16.393065,100.000000
REDE_FISICA_SEM_LOJA93,2729,253,1065507,329234755.542707,4544807.610000,49913569.471840,1383838.160000,25077682.815550,72.441957,36.068936,18.121832,17.947103,24835886.656290,49.757785,1.990358,15.160480,100.000000
