UNIVERSO,RANK_PRIORIDADE,FAIXA_PRIORIDADE,SCORE_PRIORIDADE,N_MOTIVOS,MOTIVOS,COD_EMPRESA,CD_CIDADE,CD_ESTADO,CODIGO,DESCRICAO,NIVEL_1,EMBALAGEM,CURVA_ABC_RECEITA,RECEITA,PRECO_PRATICADO_ARM,CUSTO_MEDIO_ARM,MARGEM_BRUTA_PCT,MARKUP,PRECO_PRATICADO_VENDA,PRECO_LISTA_EMBALAGEM,DESCONTO_EFETIVO_PCT,PRECO_ARM_MEDIANA_REDE,DESVIO_VS_MEDIANA_PCT,LOJAS_NA_REDE,MOTIVO_MARGEM_BAIXA,MOTIVO_DESCONTO_ALTO,MOTIVO_PRECO_FORA_FAIXA,FLAG_MARGEM_NEGATIVA,ACAO_RECOMENDADA
REDE_COMPLETA,14,ALTA,2.812722,2,desconto alto + preco fora da faixa,4,RECIFE,PE,409419,MESA SALA 1.10 RED C/VD      CAT/OFF,O - MOVEIS,0,,21592.399500,674.762484,,,,674.762484,1259.895000,46.442959,1023.645000,-34.082374,11.000000,0,1,1,0,"SKU 409419 (MESA SALA 1.10 RED C/VD      CAT/OFF) na loja 4 (RECIFE-PE): validar desconto efetivo de 46,4% vs lista; alinhar preco (-34,1% vs mediana da rede)."
REDE_COMPLETA,15,ALTA,2.745266,2,desconto alto + preco fora da faixa,6,JOAO PESSOA,PB,479557,"PORCEL.A 26X106 ESM.AVE.CR SAT2,00M2",C - PISOS E REVESTIMENTOS,0,,15297.450000,64.275000,,,,64.275000,103.950000,38.167388,97.178986,-33.859157,8.000000,0,1,1,0,"SKU 479557 (PORCEL.A 26X106 ESM.AVE.CR SAT2,00M2) na loja 6 (JOAO PESSOA-PB): validar desconto efetivo de 38,2% vs lista; alinhar preco (-33,9% vs mediana da rede)."
REDE_COMPLETA,16,ALTA,2.744083,2,desconto alto + preco fora da faixa,6,JOAO PESSOA,PB,427734,PLAFON LED RED. MILAO   BR  18W MBIV,I - ILUMINACAO,0,,15169.959000,80.691271,,,,80.691271,209.895000,61.556363,60.835385,32.638713,9.000000,0,1,1,0,"SKU 427734 (PLAFON LED RED. MILAO   BR  18W MBIV) na loja 6 (JOAO PESSOA-PB): validar desconto efetivo de 61,6% vs lista; alinhar preco (32,6% vs mediana da rede)."
REDE_COMPLETA,17,ALTA,2.741716,2,desconto alto + preco fora da faixa,4,RECIFE,PE,430299,BALCAO COZ.1.20 1P/4G  FRJ/OFW 500335,O - MOVEIS,0,,15043.875000,940.242188,,,,940.242188,1784.895000,47.322269,1373.194200,-31.528826,11.000000,0,1,1,0,"SKU 430299 (BALCAO COZ.1.20 1P/4G  FRJ/OFW 500335) na loja 4 (RECIFE-PE): validar desconto efetivo de 47,3% vs lista; alinhar preco (-31,5% vs mediana da rede)."
REDE_COMPLETA,18,ALTA,2.699704,2,desconto alto + preco fora da faixa,4,RECIFE,PE,486456,SOFA RET 3L 2.00 LINHO            CZ,O - MOVEIS,0,,12389.475000,2064.912500,,,,2064.912500,4693.395000,56.003863,3141.145000,-34.262427,5.000000,0,1,1,0,"SKU 486456 (SOFA RET 3L 2.00 LINHO            CZ) na loja 4 (RECIFE-PE): validar desconto efetivo de 56,0% vs lista; alinhar preco (-34,3% vs mediana da rede)."
REDE_COMPLETA,19,ALTA,2.691716,2,desconto alto + preco fora da faixa,92,CABO DE SANTO AGOSTINHO,PE,488473,RACK TV 1.40X0.58 PALADIO         BR,O - MOVEIS,0,,11976.930000,352.262647,,,,352.262647,524.895000,32.888931,545.895000,-35.470622,11.000000,0,1,1,0,"SKU 488473 (RACK TV 1.40X0.58 PALADIO         BR) na loja 92 (CABO DE SANTO AGOSTINHO-PE): validar desconto efetivo de 32,9% vs lista; alinhar preco (-35,5% vs mediana da rede)."
REDE_COMPLETA,20,ALTA,2.690237,2,margem negativa + desconto alto,4,RECIFE,PE,467615,AP.JANTAR PORC.20PC NATUR     990100,B - UTILIDADES DOMESTICAS,0,B,11900.700000,330.575000,408.571000,-23.594041,0.809100,330.575000,490.245000,32.569430,341.456500,-3.186790,9.000000,1,1,0,1,"SKU 467615 (AP.JANTAR PORC.20PC NATUR     990100) na loja 4 (RECIFE-PE): revisar preco/custo (margem negativa); validar desconto efetivo de 32,6% vs lista."
REDE_COMPLETA,21,ALTA,2.684024,2,desconto alto + preco fora da faixa,2,RECIFE,PE,461951,VITRINE VER 1P 300L SLIM  VV300 M220,N - INDUSTRIAL E NEGOCIOS,0,,11527.740000,3842.580000,,,,3842.580000,6194.895000,37.971830,5689.145000,-32.457689,10.000000,0,1,1,0,"SKU 461951 (VITRINE VER 1P 300L SLIM  VV300 M220) na loja 2 (RECIFE-PE): validar desconto efetivo de 38,0% vs lista; alinhar preco (-32,5% vs mediana da rede)."
REDE_COMPLETA,22,ALTA,2.667899,2,desconto alto + preco fora da faixa,2,RECIFE,PE,467559,TV LED 77 HDR SMT 4K OLED QN77S90CAG,R - ELETRONICOS,0,,10498.950000,10498.950000,,,,10498.950000,30449.895000,65.520571,15748.944750,-33.335533,8.000000,0,1,1,0,"SKU 467559 (TV LED 77 HDR SMT 4K OLED QN77S90CAG) na loja 2 (RECIFE-PE): validar desconto efetivo de 65,5% vs lista; alinhar preco (-33,3% vs mediana da rede)."
REDE_COMPLETA,23,ALTA,2.667899,2,desconto alto + preco fora da faixa,9,SALVADOR,BA,467559,TV LED 77 HDR SMT 4K OLED QN77S90CAG,R - ELETRONICOS,0,,10498.950000,10498.950000,,,,10498.950000,30449.895000,65.520571,15748.944750,-33.335533,8.000000,0,1,1,0,"SKU 467559 (TV LED 77 HDR SMT 4K OLED QN77S90CAG) na loja 9 (SALVADOR-BA): validar desconto efetivo de 65,5% vs lista; alinhar preco (-33,3% vs mediana da rede)."
REDE_COMPLETA,24,ALTA,2.667160,2,desconto alto + preco fora da faixa,3,SALVADOR,BA,171832,CHURRASQUEIRA GAS BANCAD.   CH3001IX,D - ELETROS,0,,10496.745000,2624.186250,,,,2624.186250,6225.450000,57.847445,3989.706000,-34.226075,5.000000,0,1,1,0,"SKU 171832 (CHURRASQUEIRA GAS BANCAD.   CH3001IX) na loja 3 (SALVADOR-BA): validar desconto efetivo de 57,8% vs lista; alinhar preco (-34,2% vs mediana da rede)."
