UNIVERSO,CODIGO,DESCRICAO,NIVEL_1,NIVEL_2,NIVEL_3,RECEITA,QTD_ARMAZENAGEM,LOJAS_ATIVAS,CUSTO_MEDIO_ARM,PRECO_COMPRA_PONDERADO_UNID_COMPRA,CONVERSAO_COMPRA_ARMAZENAGEM,COMPRAS_LINHAS_COM_PRECO,PRECO_PRATICADO_ARM,MARGEM_BRUTA_RS,MARGEM_BRUTA_PCT,MARKUP,FLAG_MARGEM_NEGATIVA,PART_RECEITA_UNIVERSO_PCT,CURVA_ABC_RECEITA,RANK_RECEITA
REDE_COMPLETA,470176,LAV.ROUPA 13.0KG BWK13AB     BR M220,D - ELETROS,DD - LAVADORAS E SECADORES,DDA - LAVADORAS DE ROUPAS,8685360.032914,4181.000000,10,1241.467400,1241.467400,1.000000,7,2077.340357,835.872957,40.237651,1.673294,0,1.800016,A,4.000000
REDE_COMPLETA,454103,REFRIG. 2P 386L FF CRM44ABB  BR M220,D - ELETROS,DB - REFRIGERACAO,DBA - REFRIGERADORES,7017098.304547,2271.000000,9,1733.820600,1733.820600,1.000000,1,3089.871556,1356.050956,43.886968,1.782117,0,1.454273,A,5.000000
REDE_COMPLETA,467736,COND.SPLIT 12000 COND+EVAP.  ACST12F,D - ELETROS,DA - AR E VENTILACAO,DAP - AR CONDICIONADO SPLIT ON/OFF,4769688.664362,2093.000000,11,1119.756200,1119.756200,1.000000,6,2278.876572,1159.120372,50.863675,2.035154,0,0.988504,A,12.000000
REDE_COMPLETA,467737,COND.SPLIT 9000 COND+EVAP. ACST9F-02,D - ELETROS,DA - AR E VENTILACAO,DAP - AR CONDICIONADO SPLIT ON/OFF,2759187.902759,1316.000000,11,993.946600,993.946600,1.000000,4,2096.647343,1102.700743,52.593525,2.109416,0,0.571834,A,24.000000
REDE_COMPLETA,454313,REFLETOR LED AL.100W         IP65 BR,I - ILUMINACAO,ID - JARDIM,IDE - REFLETORES,1837577.522360,32731.000000,10,31.875400,31.875400,1.000000,22,56.141808,24.266408,43.223418,1.761290,0,0.380833,A,35.000000
REDE_COMPLETA,467963,COND.SPLIT 9000 COND. 38AGVC INV.157,D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,1829754.044758,1035.000000,11,1101.698800,1101.698800,1.000000,6,1767.878304,666.179504,37.682430,1.604684,0,0.379211,A,36.000000
REDE_COMPLETA,466539,VENT.COL.40CM 3V        VF4C PT M220,D - ELETROS,DA - AR E VENTILACAO,DAO - VENTILADORES DE COLUNA,1814848.313254,4471.000000,11,247.436200,247.436200,1.000000,1,405.915525,158.479325,39.042440,1.640486,0,0.376122,A,39.000000
REDE_COMPLETA,467965,COND.SPLIT 12000 COND.38AGVC INV.158,D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,1714187.049460,847.000000,11,1296.119000,1296.119000,1.000000,4,2023.833589,727.714589,35.957234,1.561457,0,0.355260,A,44.000000
REDE_COMPLETA,474263,"PORCEL.A 60X60 EPO.MARMO RT   1,80M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,1662263.706600,21456.000000,10,36.566000,36.566000,1.000000,18,77.473141,40.907141,52.801707,2.118721,0,0.344499,A,47.000000
REDE_COMPLETA,479589,COND.PORT. 12000  MPH-12CRV2    M220,D - ELETROS,DA - AR E VENTILACAO,DAP - AR CONDICIONADO SPLIT ON/OFF,1414941.430000,383.000000,9,2006.900000,2006.900000,1.000000,1,3694.364047,1687.464047,45.676713,1.840831,0,0.293243,A,60.000000
REDE_COMPLETA,429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,EA - TOMADAS E INTERRUPTORES,EAA - TOMADAS DE ENERGIA,1299370.493865,281011.000000,9,3.572000,3.572000,1.000000,1,4.623913,1.051913,22.749416,1.294489,0,0.269291,A,66.000000
REDE_COMPLETA,455283,LAMP.LED  BULBO  T80 40W BR E27 MBIV,I - ILUMINACAO,IA - LAMPADAS,IAA - LAMPADAS LED,1078697.001075,40409.000000,9,13.545400,13.545400,1.000000,55,26.694474,13.149074,49.257663,1.970741,0,0.223557,A,78.000000
REDE_COMPLETA,442138,CADEIRA POLIP ALICE              OFF,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAW - CADEIRAS PARA SALA E COZINHA,1027090.662500,4442.000000,10,141.366600,141.366600,1.000000,10,231.222571,89.855971,38.861246,1.635624,0,0.212862,A,84.000000
REDE_COMPLETA,474267,"PORCEL.A 60X60 EPO.CHAMPANG.RT1,80M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,1022814.941400,13253.400000,10,36.566000,36.566000,1.000000,7,77.173777,40.607777,52.618621,2.110534,0,0.211975,A,85.000000
REDE_COMPLETA,456722,LAMP.LED  BULBO T100 50W BR E27 MBIV,I - ILUMINACAO,IA - LAMPADAS,IAA - LAMPADAS LED,963869.755811,22804.000000,9,20.520200,20.520200,1.000000,44,42.267574,21.747374,51.451673,2.059803,0,0.199759,A,90.000000
REDE_COMPLETA,451133,ROUPEIRO 2.19 6P/AB/3G        CN/OFF,O - MOVEIS,OC - QUARTO,OCA - ROUPEIROS,955350.375000,610.000000,11,561.847400,561.847400,1.000000,1,1566.148156,1004.300756,64.125527,2.787497,0,0.197994,A,91.000000
