SEGMENTO,RECEITA,QTD_ARMAZENAGEM,TRANSACOES,SKUS_ATIVOS,LOJAS_ATIVAS,TICKET_MEDIO_TRANSACAO,PRECO_MEDIO_ARMAZENAGEM,PARTICIPACAO_RECEITA_REDE_COMPLETA_PCT,PARTICIPACAO_QTD_REDE_COMPLETA_PCT,PARTICIPACAO_TRANSACOES_REDE_COMPLETA_PCT
REDE_COMPLETA,482515748.115843,4641883.610000,1090390,2729,11,442.516667,103.948265,100.000000,100.000000,100.000000
LOJA_93_ATACADO_B2B,153280992.573136,97076.000000,24883,327,1,6160.068825,1578.979280,31.767045,2.091306,2.282028
REDE_FISICA_SEM_LOJA93,329234755.542707,4544807.610000,1065507,2729,10,308.993517,72.441957,68.232955,97.908694,97.717972
