NIVEL_1,NIVEL_2,RECEITA,QTD_ARMAZENAGEM,TRANSACOES,SKUS_ATIVOS,UNIVERSO,PRECO_MEDIO_ARMAZENAGEM,TICKET_MEDIO_TRANSACAO,PARTICIPACAO_RECEITA_PCT,PARTICIPACAO_QTD_PCT,QTD_ARMAZENAGEM_2024,QTD_ARMAZENAGEM_2025,RECEITA_2024,RECEITA_2025,TRANSACOES_2024,TRANSACOES_2025,DELTA_RECEITA_2025_VS_2024,VAR_RECEITA_2025_VS_2024_PCT,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,VAR_QTD_ARMAZENAGEM_2025_VS_2024_PCT,DELTA_TRANSACOES_2025_VS_2024,VAR_TRANSACOES_2025_VS_2024_PCT
B - UTILIDADES DOMESTICAS,BB - SERVIR - PRESENTES,5794126.123399,421855.000000,86554,236,REDE_COMPLETA,13.734876,66.942326,1.200816,9.088013,321604.000000,100251.000000,4345766.105628,1448360.017771,62496,24058,-2897406.087857,-66.671929,-221353.000000,-68.827813,-38438,-61.504736
F - FERRAMENTAS,"FA - GOLPE, PERFURACAO E FIXACAO ELETRICA",5439373.110500,8042.000000,4863,9,REDE_COMPLETA,676.370693,1118.522128,1.127294,0.173249,5057.000000,2985.000000,2779572.362000,2659800.748500,2922,1941,-119771.613500,-4.308994,-2072.000000,-40.972909,-981,-33.572895
U - METAIS E ACESSORIOS,"UB - TORNEIRAS, BICAS E MISTURADORES",5397893.774177,38570.000000,11636,22,REDE_COMPLETA,139.950578,463.895993,1.118698,0.830913,14874.000000,23696.000000,2816240.727908,2581653.046269,6009,5627,-234587.681640,-8.329816,8822.000000,59.311550,-382,-6.357131
V - DECORACAO,VF - CORTINAS,5211270.258568,37595.000000,20534,60,REDE_COMPLETA,138.616046,253.787390,1.080021,0.809908,24853.000000,12742.000000,3584547.773068,1626722.485500,14009,6525,-1957825.287568,-54.618474,-12111.000000,-48.730536,-7484,-53.422800
"G - PORTAS, JANELAS E FECHADURAS",GC - FECHADURAS,4819903.167750,29645.000000,11700,20,REDE_COMPLETA,162.587390,411.957536,0.998911,0.638642,22731.000000,6914.000000,3325645.401000,1494257.766750,8466,3234,-1831387.634250,-55.068638,-15817.000000,-69.583388,-5232,-61.800142
D - ELETROS,DE - ELETROPORTATEIS PARA COZINHA,4676748.690465,13995.000000,7454,30,REDE_COMPLETA,334.172825,627.414635,0.969243,0.301494,11953.000000,2042.000000,4006535.485965,670213.204500,6161,1293,-3336322.281465,-83.272001,-9911.000000,-82.916423,-4868,-79.013147
E - MATERIAIS ELETRICOS,EA - TOMADAS E INTERRUPTORES,4183192.302961,673558.000000,46278,43,REDE_COMPLETA,6.210590,90.392677,0.866955,14.510446,302163.000000,371395.000000,2008855.680173,2174336.622788,24023,22255,165480.942615,8.237572,69232.000000,22.912137,-1768,-7.359614
E - MATERIAIS ELETRICOS,ED - PROTECAO DE CIRCUITOS ELETRICOS,4121263.742732,186163.000000,46523,37,REDE_COMPLETA,22.137932,88.585511,0.854120,4.010506,92645.000000,93518.000000,2081369.007316,2039894.735416,24702,21821,-41474.271900,-1.992644,873.000000,0.942307,-2881,-11.663023
I - ILUMINACAO,ID - JARDIM,4085497.519122,86710.000000,14730,21,REDE_COMPLETA,47.116798,277.358963,0.846708,1.867992,52252.000000,34458.000000,2324385.346305,1761112.172817,8940,5790,-563273.173488,-24.233210,-17794.000000,-34.054199,-3150,-35.234899
O - MOVEIS,OD - COZINHA E AREA DE SERVICO,3703443.096500,10884.000000,5925,48,REDE_COMPLETA,340.264893,625.053687,0.767528,0.234474,8045.000000,2839.000000,2740199.834000,963243.262500,4332,1593,-1776956.571500,-64.847700,-5206.000000,-64.711001,-2739,-63.227147
N - INDUSTRIAL E NEGOCIOS,NB - REFRIGERACAO E CONSERVACAO INDUSTRIAL,3182233.488000,1195.000000,988,25,REDE_COMPLETA,2662.956894,3220.884097,0.659509,0.025744,706.000000,489.000000,1871920.617000,1310312.871000,640,348,-561607.746000,-30.001686,-217.000000,-30.736544,-292,-45.625000
B - UTILIDADES DOMESTICAS,BJ - JOGOS E CONJUNTOS PARA SERVIR,3118150.890913,23848.000000,12408,37,REDE_COMPLETA,130.751044,251.301651,0.646228,0.513757,20336.000000,3512.000000,2678113.504663,440037.386250,9907,2501,-2238076.118413,-83.569129,-16824.000000,-82.730134,-7406,-74.755224
B - UTILIDADES DOMESTICAS,BD - ORGANIZAR,2972745.172875,100744.000000,48549,66,REDE_COMPLETA,29.507913,61.231852,0.616093,2.170326,74604.000000,26140.000000,2064257.206375,908487.966500,34117,14432,-1155769.239875,-55.989595,-48464.000000,-64.961664,-19685,-57.698508
W - LOUCAS E PIAS,WB - CUBAS E PIAS,2723950.323500,7120.000000,5127,50,REDE_COMPLETA,382.577293,531.295167,0.564531,0.153386,5138.000000,1982.000000,1942186.641500,781763.682000,3588,1539,-1160422.959500,-59.748272,-3156.000000,-61.424679,-2049,-57.107023
M - MAQUINAS E MOTORES,MF - AGRICOLAS E JARDINAGEM,2426428.525500,1416.000000,1193,7,REDE_COMPLETA,1713.579467,2033.888119,0.502870,0.030505,1307.000000,109.000000,2169328.675500,257099.850000,1091,102,-1912228.825500,-88.148414,-1198.000000,-91.660291,-989,-90.650779
W - LOUCAS E PIAS,WA - BACIAS E CAIXAS,1828423.037000,5662.000000,4134,34,REDE_COMPLETA,322.928830,442.289075,0.378935,0.121976,4376.000000,1286.000000,1536286.640000,292136.397000,3137,997,-1244150.243000,-80.984252,-3090.000000,-70.612431,-2140,-68.218043
F - FERRAMENTAS,FD - ACABAMENTO ELETRICO,1505274.844250,5341.000000,3074,6,REDE_COMPLETA,281.833897,489.679520,0.311964,0.115061,4356.000000,985.000000,1235277.644750,269997.199500,2446,628,-965280.445250,-78.142792,-3371.000000,-77.387511,-1818,-74.325429
I - ILUMINACAO,IC - COMERCIAL,1351400.406471,54624.000000,6456,16,REDE_COMPLETA,24.740048,209.324722,0.280074,1.176764,42396.000000,12228.000000,977510.319096,373890.087375,4253,2203,-603620.231721,-61.750778,-30168.000000,-71.157656,-2050,-48.201270
V - DECORACAO,VG - TAPETES,1303505.709773,39651.000000,14421,28,REDE_COMPLETA,32.874473,90.389412,0.270148,0.854201,33549.000000,6102.000000,975559.346273,327946.363500,10846,3575,-647612.982773,-66.383761,-27447.000000,-81.811678,-7271,-67.038540
N - INDUSTRIAL E NEGOCIOS,NA - COZINHA INDUSTRIAL,1262054.808000,1015.000000,929,26,REDE_COMPLETA,1243.403752,1358.508943,0.261557,0.021866,488.000000,527.000000,677373.637500,584681.170500,445,484,-92692.467000,-13.684097,39.000000,7.991803,39,8.764045
O - MOVEIS,OE - BANHEIRO,1206241.039500,1979.000000,1774,8,REDE_COMPLETA,609.520485,679.955490,0.249990,0.042634,1293.000000,686.000000,767847.570000,438393.469500,1146,628,-329454.100500,-42.906185,-607.000000,-46.945089,-518,-45.200698
B - UTILIDADES DOMESTICAS,BL - LAVANDERIA,1094158.956583,20593.000000,9831,9,REDE_COMPLETA,53.132567,111.296812,0.226761,0.443635,16179.000000,4414.000000,943723.545583,150435.411000,7260,2571,-793288.134583,-84.059377,-11765.000000,-72.717721,-4689,-64.586777
O - MOVEIS,OF - ESCRITORIO,1014082.517000,2646.000000,2116,11,REDE_COMPLETA,383.251140,479.245046,0.210166,0.057003,2439.000000,207.000000,919292.822000,94789.695000,1933,183,-824503.127000,-89.688846,-2232.000000,-91.512915,-1750,-90.532850
B - UTILIDADES DOMESTICAS,BK - HIGIENE E LIMPEZA,984830.707000,25650.000000,14291,22,REDE_COMPLETA,38.394959,68.912652,0.204103,0.552577,18994.000000,6656.000000,655878.513500,328952.193500,10315,3976,-326926.320000,-49.845560,-12338.000000,-64.957355,-6339,-61.454193
V - DECORACAO,VA - OBJETOS PARA SALA E QUARTO,970803.470000,24108.000000,9007,36,REDE_COMPLETA,40.268934,107.783221,0.201196,0.519358,18514.000000,5594.000000,739206.240500,231597.229500,6685,2322,-507609.011000,-68.669470,-12920.000000,-69.785028,-4363,-65.265520
E - MATERIAIS ELETRICOS,"EI - PROGRAMADORES, SENSORES E VARIADORES",900979.483523,20276.000000,4422,2,REDE_COMPLETA,44.435761,203.749318,0.186725,0.436805,9267.000000,11009.000000,423985.676250,476993.807273,2111,2311,53008.131023,12.502340,1742.000000,18.797885,200,9.474183
E - MATERIAIS ELETRICOS,"EC - CAIXAS, DUTOS E CALHAS ELETRICAS",885887.304840,120337.000000,13323,15,REDE_COMPLETA,7.361720,66.493080,0.183598,2.592417,101401.000000,18936.000000,711976.993090,173910.311750,10441,2882,-538066.681340,-75.573605,-82465.000000,-81.325628,-7559,-72.397280
E - MATERIAIS ELETRICOS,EK - PROTECAO DE EQUIPAMENTOS ELETRICOS,853744.242156,24328.000000,4693,3,REDE_COMPLETA,35.093071,181.918654,0.176936,0.524098,20805.000000,3523.000000,727574.569921,126169.672235,3857,836,-601404.897686,-82.658867,-17282.000000,-83.066571,-3021,-78.325123
S - TINTAS E QUIMICOS,SC - ADERENTES E VEDADORES,750562.916750,18915.000000,8828,10,REDE_COMPLETA,39.680831,85.020720,0.155552,0.407485,13939.000000,4976.000000,515029.417500,235533.499250,6580,2248,-279495.918250,-54.267952,-8963.000000,-64.301600,-4332,-65.835866
D - ELETROS,DF - ELETROPORTATEIS PARA CASA,737821.547801,6021.000000,2280,10,REDE_COMPLETA,122.541363,323.605942,0.152911,0.129710,4851.000000,1170.000000,568889.577301,168931.970500,1493,787,-399957.606801,-70.304963,-3681.000000,-75.881262,-706,-47.287341
A - AUTOMOTIVO,AD - LUBRIFICANTES E ADITIVOS,737055.500250,15873.000000,3005,4,REDE_COMPLETA,46.434543,245.276373,0.152753,0.341952,9109.000000,6764.000000,428484.732000,308570.768250,1728,1277,-119913.963750,-27.985586,-2345.000000,-25.743770,-451,-26.099537
N - INDUSTRIAL E NEGOCIOS,NC - PROCESSADORES INDUSTRIAIS,684936.420000,701.000000,653,13,REDE_COMPLETA,977.084765,1048.907228,0.141951,0.015102,335.000000,366.000000,376215.315000,308721.105000,318,335,-67494.210000,-17.940314,31.000000,9.253731,17,5.345912
Q - BASICOS CONSTRUCAO,QJ - SUPORTES,669063.582250,49714.000000,10728,18,REDE_COMPLETA,13.458253,62.366106,0.138662,1.070988,26632.000000,23082.000000,344132.724250,324930.858000,5553,5175,-19201.866250,-5.579785,-3550.000000,-13.329829,-378,-6.807131
B - UTILIDADES DOMESTICAS,BE - ARMAZENAR,667022.994858,22564.000000,11678,29,REDE_COMPLETA,29.561381,57.117914,0.138239,0.486096,16759.000000,5805.000000,515128.587985,151894.406873,8377,3301,-363234.181113,-70.513303,-10954.000000,-65.361895,-5076,-60.594485
"K - CAMA, MESA E BANHO",KB - MESA,610560.076750,42088.000000,12183,20,REDE_COMPLETA,14.506750,50.115741,0.126537,0.906701,37551.000000,4537.000000,518080.497250,92479.579500,9988,2195,-425600.917750,-82.149573,-33014.000000,-87.917765,-7793,-78.023628
S - TINTAS E QUIMICOS,SF - SELADORES E VERNIZES,578857.562500,2433.000000,1258,1,REDE_COMPLETA,237.919261,460.141147,0.119967,0.052414,1740.000000,693.000000,409968.520500,168889.042000,856,402,-241079.478500,-58.804388,-1047.000000,-60.172414,-454,-53.037383
C - PISOS E REVESTIMENTOS,CB - NAO CERAMICOS,556203.298980,5844.920000,622,10,REDE_COMPLETA,95.160122,894.217522,0.115272,0.125917,4685.000000,1159.920000,433000.323000,123202.975980,421,201,-309797.347020,-71.546678,-3525.080000,-75.241836,-220,-52.256532
M - MAQUINAS E MOTORES,MJ - MARCENARIA,540657.904500,284.000000,271,2,REDE_COMPLETA,1903.725016,1995.047618,0.112050,0.006118,119.000000,165.000000,231883.890000,308774.014500,115,156,76890.124500,33.158890,46.000000,38.655462,41,35.652174
B - UTILIDADES DOMESTICAS,BH - ACESSORIOS PARA SERVIR - PRESENTES,512074.671850,25539.000000,11891,31,REDE_COMPLETA,20.050694,43.064054,0.106126,0.550186,20315.000000,5224.000000,382397.463350,129677.208500,8683,3208,-252720.254850,-66.088371,-15091.000000,-74.285011,-5475,-63.054244
B - UTILIDADES DOMESTICAS,BF - UTENSILIOS PARA PREPARACAO,436515.852500,13048.000000,9392,18,REDE_COMPLETA,33.454618,46.477412,0.090467,0.281093,8693.000000,4355.000000,284502.953000,152012.899500,6152,3240,-132490.053500,-46.568955,-4338.000000,-49.902220,-2912,-47.334200
R - ELETRONICOS,RC - SOM,426794.529000,266.000000,195,2,REDE_COMPLETA,1604.490711,2188.689892,0.088452,0.005730,172.000000,94.000000,272768.370000,154026.159000,110,85,-118742.211000,-43.532251,-78.000000,-45.348837,-25,-22.727273
V - DECORACAO,VC - OBJETOS PARA JARDIM,421659.241500,2587.000000,1395,3,REDE_COMPLETA,162.991589,302.264689,0.087388,0.055732,867.000000,1720.000000,220660.020000,200999.221500,505,890,-19660.798500,-8.909996,853.000000,98.385236,385,76.237624
"G - PORTAS, JANELAS E FECHADURAS",GA - PORTAS,420629.989500,2317.000000,1768,18,REDE_COMPLETA,181.540781,237.912890,0.087174,0.049915,2072.000000,245.000000,354306.424500,66323.565000,1566,202,-287982.859500,-81.280733,-1827.000000,-88.175676,-1364,-87.100894
U - METAIS E ACESSORIOS,UD - REGISTROS E VALVULAS,372643.200000,11110.000000,5369,9,REDE_COMPLETA,33.541242,69.406444,0.077229,0.239342,7889.000000,3221.000000,289554.720000,83088.480000,3785,1584,-206466.240000,-71.304740,-4668.000000,-59.170998,-2201,-58.150594
O - MOVEIS,OB - VARANDA E AREA EXTERNA,363773.422250,1596.000000,1106,5,REDE_COMPLETA,227.928209,328.909062,0.075391,0.034383,938.000000,658.000000,231168.759500,132604.662750,668,438,-98564.096750,-42.637291,-280.000000,-29.850746,-230,-34.431138
"L - INFANTIL, LAZER E PETS",LF - MOVEIS INFANTIS,322148.295000,2030.000000,1552,11,REDE_COMPLETA,158.693741,207.569778,0.066764,0.043732,1488.000000,542.000000,228180.855000,93967.440000,1137,415,-134213.415000,-58.818876,-946.000000,-63.575269,-722,-63.500440
"L - INFANTIL, LAZER E PETS",LH - PRAIA E PISCINA,301529.000500,3421.000000,1915,5,REDE_COMPLETA,88.140602,157.456397,0.062491,0.073699,2368.000000,1053.000000,195427.291500,106101.709000,1245,670,-89325.582500,-45.707834,-1315.000000,-55.532095,-575,-46.184739
U - METAIS E ACESSORIOS,UE - BASES E ACABAMENTOS,295360.432500,4541.000000,2011,3,REDE_COMPLETA,65.043037,146.872418,0.061213,0.097827,3522.000000,1019.000000,245617.638000,49742.794500,1477,534,-195874.843500,-79.747874,-2503.000000,-71.067575,-943,-63.845633
N - INDUSTRIAL E NEGOCIOS,NE - LIMPEZA E MANUTENCAO,283516.394000,12784.000000,5486,5,REDE_COMPLETA,22.177440,51.679984,0.058758,0.275405,10440.000000,2344.000000,226552.196500,56964.197500,4268,1218,-169587.999000,-74.856038,-8096.000000,-77.547893,-3050,-71.462043
A - AUTOMOTIVO,AA - PNEUS,274737.424500,342.000000,166,3,REDE_COMPLETA,803.325803,1655.044726,0.056939,0.007368,316.000000,26.000000,254539.540500,20197.884000,146,20,-234341.656500,-92.064933,-290.000000,-91.772152,-126,-86.301370
M - MAQUINAS E MOTORES,ME - LIMPEZA,244032.978000,303.000000,257,5,REDE_COMPLETA,805.389366,949.544661,0.050575,0.006528,243.000000,60.000000,179772.810000,64260.168000,199,58,-115512.642000,-64.254790,-183.000000,-75.308642,-141,-70.854271
H - TUBOS E CONEXOES,HE - RALOS E GRELHAS,242085.851000,6822.000000,2945,8,REDE_COMPLETA,35.486053,82.202326,0.050172,0.146966,4353.000000,2469.000000,175993.216000,66092.635000,1772,1173,-109900.581000,-62.445919,-1884.000000,-43.280496,-599,-33.803612
S - TINTAS E QUIMICOS,SE - IMPERMEABILIZANTES,211221.129000,947.000000,749,4,REDE_COMPLETA,223.042375,282.004178,0.043775,0.020401,576.000000,371.000000,125180.895000,86040.234000,453,296,-39140.661000,-31.267280,-205.000000,-35.590278,-157,-34.657837
E - MATERIAIS ELETRICOS,EO - INSTRUMENTOS DE MEDICAO ELETRICA,205258.607750,7205.000000,4288,2,REDE_COMPLETA,28.488356,47.868145,0.042539,0.155217,4632.000000,2573.000000,124586.210000,80672.397750,2672,1616,-43913.812250,-35.247731,-2059.000000,-44.451641,-1056,-39.520958
M - MAQUINAS E MOTORES,MA - BOMBAS E FILTROS,189359.331000,498.000000,423,4,REDE_COMPLETA,380.239620,447.657993,0.039244,0.010728,421.000000,77.000000,159369.966000,29989.365000,357,66,-129380.601000,-81.182549,-344.000000,-81.710214,-291,-81.512605
I - ILUMINACAO,IE - ACESSORIOS E COMPONENTES,185192.285250,2494.000000,1271,8,REDE_COMPLETA,74.255126,145.705968,0.038381,0.053728,1696.000000,798.000000,116535.536250,68656.749000,839,432,-47878.787250,-41.085139,-898.000000,-52.948113,-407,-48.510131
H - TUBOS E CONEXOES,HA - TUBOS E CONEXOES,160786.255000,11086.000000,4064,15,REDE_COMPLETA,14.503541,39.563547,0.033322,0.238825,7199.000000,3887.000000,101741.748500,59044.506500,2549,1515,-42697.242000,-41.966295,-3312.000000,-46.006390,-1034,-40.564927
B - UTILIDADES DOMESTICAS,BC - SERVIR - PLASTICOS,159692.212750,13788.000000,6033,15,REDE_COMPLETA,11.581971,26.469785,0.033096,0.297035,10001.000000,3787.000000,105833.841750,53858.371000,4250,1783,-51975.470750,-49.110445,-6214.000000,-62.133787,-2467,-58.047059
M - MAQUINAS E MOTORES,MI - CONSTRUCAO CIVIL,142033.080000,46.000000,39,1,REDE_COMPLETA,3087.675652,3641.873846,0.029436,0.000991,36.000000,10.000000,112281.750000,29751.330000,29,10,-82530.420000,-73.502969,-26.000000,-72.222222,-19,-65.517241
J - JARDINAGEM,JE - DECORACAO,136788.995000,2781.000000,1486,1,REDE_COMPLETA,49.186981,92.051814,0.028349,0.059911,2121.000000,660.000000,103681.445000,33107.550000,1059,427,-70573.895000,-68.068009,-1461.000000,-68.882603,-632,-59.678942
W - LOUCAS E PIAS,WC - TANQUES,135548.595000,291.000000,284,4,REDE_COMPLETA,465.802732,477.283785,0.028092,0.006269,252.000000,39.000000,105434.805000,30113.790000,247,37,-75321.015000,-71.438473,-213.000000,-84.523810,-210,-85.020243
A - AUTOMOTIVO,AC - MANUTENCAO E LIMPEZA,134474.060000,7002.000000,4535,4,REDE_COMPLETA,19.205093,29.652494,0.027869,0.150844,3867.000000,3135.000000,74882.496500,59591.563500,2519,2016,-15290.933000,-20.419903,-732.000000,-18.929403,-503,-19.968241
E - MATERIAIS ELETRICOS,"EB - FIOS, CABOS E CONECTORES",134134.994000,21816.000000,3653,6,REDE_COMPLETA,6.148469,36.719133,0.027799,0.469982,15452.000000,6364.000000,80303.926500,53831.067500,2073,1580,-26472.859000,-32.965834,-9088.000000,-58.814393,-493,-23.781959
T - ARTIGOS DE EPOCA,TA - ILUMINACAO NATALINA,122798.564167,2513.000000,289,1,REDE_COMPLETA,48.865326,424.908527,0.025450,0.054138,2500.000000,13.000000,122069.129167,729.435000,281,8,-121339.694167,-99.402441,-2487.000000,-99.480000,-273,-97.153025
"L - INFANTIL, LAZER E PETS",LA - BRINQUEDOS,104810.779500,3286.000000,2314,7,REDE_COMPLETA,31.896159,45.294200,0.021722,0.070790,2779.000000,507.000000,87757.320000,17053.459500,1889,425,-70703.860500,-80.567479,-2272.000000,-81.756027,-1464,-77.501323
N - INDUSTRIAL E NEGOCIOS,ND - PESO E AFERICAO,101251.395000,71.000000,68,2,REDE_COMPLETA,1426.075986,1488.991103,0.020984,0.001530,27.000000,44.000000,40103.490000,61147.905000,25,43,21044.415000,52.475271,17.000000,62.962963,18,72.000000
R - ELETRONICOS,RG - SEGURANCA,88881.730000,390.000000,243,2,REDE_COMPLETA,227.901872,365.768436,0.018420,0.008402,81.000000,309.000000,24020.745000,64860.985000,63,180,40840.240000,170.020705,228.000000,281.481481,117,185.714286
B - UTILIDADES DOMESTICAS,BG - ACESSORIOS PARA PREPARACAO,87083.580500,4353.000000,2650,7,REDE_COMPLETA,20.005417,32.861728,0.018048,0.093777,2463.000000,1890.000000,58149.955500,28933.625000,1782,868,-29216.330500,-50.243083,-573.000000,-23.264312,-914,-51.290685
Q - BASICOS CONSTRUCAO,QI - FIXACAO,85191.855000,2764.000000,1356,3,REDE_COMPLETA,30.821945,62.825852,0.017656,0.059545,1488.000000,1276.000000,42331.275000,42860.580000,750,606,529.305000,1.250388,-212.000000,-14.247312,-144,-19.200000
Y - EPI,YE - PROTECAO RESPIRATORIA,73582.103000,5296.000000,1622,1,REDE_COMPLETA,13.893902,45.365045,0.015250,0.114092,4047.000000,1249.000000,54972.802500,18609.300500,1193,429,-36363.502000,-66.148168,-2798.000000,-69.137633,-764,-64.040235
"L - INFANTIL, LAZER E PETS",LE - ENXOVAL,70573.492500,1048.000000,682,1,REDE_COMPLETA,67.341119,103.480194,0.014626,0.022577,766.000000,282.000000,49188.352500,21385.140000,464,218,-27803.212500,-56.523976,-484.000000,-63.185379,-246,-53.017241
A - AUTOMOTIVO,AB - BATERIAS E CARREGADORES,67676.658000,122.000000,108,1,REDE_COMPLETA,554.726705,626.635722,0.014026,0.002628,73.000000,49.000000,40242.573000,27434.085000,64,44,-12808.488000,-31.828203,-24.000000,-32.876712,-20,-31.250000
M - MAQUINAS E MOTORES,MH - SOLDAGEM,61396.555500,79.000000,75,1,REDE_COMPLETA,777.171589,818.620740,0.012724,0.001702,64.000000,15.000000,48562.510500,12834.045000,60,15,-35728.465500,-73.572114,-49.000000,-76.562500,-45,-75.000000
A - AUTOMOTIVO,AP - VULCANIZADORES,58614.675000,101.000000,94,1,REDE_COMPLETA,580.343317,623.560372,0.012148,0.002176,57.000000,44.000000,30401.595000,28213.080000,55,39,-2188.515000,-7.198685,-13.000000,-22.807018,-16,-29.090909
H - TUBOS E CONEXOES,HB - CALHAS E ACESSORIOS,56218.501500,1105.000000,695,2,REDE_COMPLETA,50.876472,80.889930,0.011651,0.023805,769.000000,336.000000,39901.627500,16316.874000,458,237,-23584.753500,-59.107247,-433.000000,-56.306892,-221,-48.253275
T - ARTIGOS DE EPOCA,TC - DECORACAO NATALINA,52868.996250,3367.000000,417,2,REDE_COMPLETA,15.702108,126.784164,0.010957,0.072535,3286.000000,81.000000,50346.301250,2522.695000,377,40,-47823.606250,-94.989314,-3205.000000,-97.534997,-337,-89.389920
J - JARDINAGEM,JA - PLANTAR,51638.853000,1414.000000,1105,4,REDE_COMPLETA,36.519698,46.731994,0.010702,0.030462,1251.000000,163.000000,41356.833000,10282.020000,989,116,-31074.813000,-75.138280,-1088.000000,-86.970424,-873,-88.270981
A - AUTOMOTIVO,AO - VESTUARIOS PARA MOTOQUEIROS,48574.459500,109.000000,104,4,REDE_COMPLETA,445.637243,467.062111,0.010067,0.002348,42.000000,67.000000,20971.650000,27602.809500,41,63,6631.159500,31.619637,25.000000,59.523810,22,53.658537
F - FERRAMENTAS,"FC - ACESSORIOS PARA GOLPE, PERFURACAO E FIXACAO",47149.893000,128.000000,116,1,REDE_COMPLETA,368.358539,406.464595,0.009772,0.002758,78.000000,50.000000,28639.317000,18510.576000,70,46,-10128.741000,-35.366559,-28.000000,-35.897436,-24,-34.285714
W - LOUCAS E PIAS,WD - BANHEIRAS E ACESSORIOS,45221.505000,21.000000,20,2,REDE_COMPLETA,2153.405000,2261.075250,0.009372,0.000452,13.000000,8.000000,27461.070000,17760.435000,12,8,-9700.635000,-35.325044,-5.000000,-38.461538,-4,-33.333333
