VALIDACAO,OBSERVADO,ESPERADO,DIFERENCA,STATUS
Dimensão sem nulos após Etapa 1: DESCRICAO,0.000000,0.000000,0.000000,OK
Dimensão sem nulos após Etapa 1: NIVEL_1,0.000000,0.000000,0.000000,OK
Dimensão sem nulos após Etapa 1: NIVEL_2,0.000000,0.000000,0.000000,OK
Dimensão sem nulos após Etapa 1: NIVEL_3,0.000000,0.000000,0.000000,OK
Dimensão sem nulos após Etapa 1: CD_CIDADE,0.000000,0.000000,0.000000,OK
Dimensão sem nulos após Etapa 1: CD_ESTADO,0.000000,0.000000,0.000000,OK
ranking_receita soma RECEITA - REDE_COMPLETA,482515748.115843,482515748.115843,0.000000,OK
ranking_receita soma QTD_ARMAZENAGEM - REDE_COMPLETA,4641883.610000,4641883.610000,0.000000,OK
ranking_receita soma TRANSACOES - REDE_COMPLETA,1090390.000000,1090390.000000,0.000000,OK
ranking_quantidade soma RECEITA - REDE_COMPLETA,482515748.115843,482515748.115843,0.000000,OK
ranking_quantidade soma QTD_ARMAZENAGEM - REDE_COMPLETA,4641883.610000,4641883.610000,-0.000000,OK
ranking_quantidade soma TRANSACOES - REDE_COMPLETA,1090390.000000,1090390.000000,0.000000,OK
curva_abc soma RECEITA - REDE_COMPLETA,482515748.115843,482515748.115843,0.000000,OK
curva_abc soma QTD_ARMAZENAGEM - REDE_COMPLETA,4641883.610000,4641883.610000,0.000000,OK
curva_abc soma TRANSACOES - REDE_COMPLETA,1090390.000000,1090390.000000,0.000000,OK
categorias_n1 soma RECEITA - REDE_COMPLETA,482515748.115843,482515748.115843,0.000000,OK
categorias_n1 soma QTD_ARMAZENAGEM - REDE_COMPLETA,4641883.610000,4641883.610000,-0.000000,OK
categorias_n1 soma TRANSACOES - REDE_COMPLETA,1090390.000000,1090390.000000,0.000000,OK
lojas soma RECEITA - REDE_COMPLETA,482515748.115843,482515748.115843,-0.000000,OK
lojas soma QTD_ARMAZENAGEM - REDE_COMPLETA,4641883.610000,4641883.610000,-0.000000,OK
lojas soma TRANSACOES - REDE_COMPLETA,1090390.000000,1090390.000000,0.000000,OK
mensal soma RECEITA - REDE_COMPLETA,482515748.115843,482515748.115843,0.000000,OK
mensal soma QTD_ARMAZENAGEM - REDE_COMPLETA,4641883.610000,4641883.610000,0.000000,OK
mensal soma TRANSACOES - REDE_COMPLETA,1090390.000000,1090390.000000,0.000000,OK
Produtos ativos no ranking - REDE_COMPLETA,2729.000000,2729.000000,0.000000,OK
Ranking receita sem duplicidade de produto - REDE_COMPLETA,1.000000,1.000000,0.000000,OK
Ranking quantidade sem duplicidade de produto - REDE_COMPLETA,1.000000,1.000000,0.000000,OK
Serie mensal com 24 meses - REDE_COMPLETA,1.000000,1.000000,0.000000,OK
Curva ABC soma 100% receita - REDE_COMPLETA,100.000000,100.000000,-0.000000,OK
Decomposicao categorias soma delta receita - REDE_COMPLETA,-179202154.864269,-179202154.864269,-0.000000,OK
Decomposicao lojas soma delta receita - REDE_COMPLETA,-179202154.864269,-179202154.864269,-0.000000,OK
ranking_receita soma RECEITA - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,0.000000,OK
ranking_receita soma QTD_ARMAZENAGEM - REDE_FISICA_SEM_LOJA93,4544807.610000,4544807.610000,0.000000,OK
ranking_receita soma TRANSACOES - REDE_FISICA_SEM_LOJA93,1065507.000000,1065507.000000,0.000000,OK
ranking_quantidade soma RECEITA - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,0.000000,OK
ranking_quantidade soma QTD_ARMAZENAGEM - REDE_FISICA_SEM_LOJA93,4544807.610000,4544807.610000,0.000000,OK
ranking_quantidade soma TRANSACOES - REDE_FISICA_SEM_LOJA93,1065507.000000,1065507.000000,0.000000,OK
curva_abc soma RECEITA - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,0.000000,OK
curva_abc soma QTD_ARMAZENAGEM - REDE_FISICA_SEM_LOJA93,4544807.610000,4544807.610000,0.000000,OK
curva_abc soma TRANSACOES - REDE_FISICA_SEM_LOJA93,1065507.000000,1065507.000000,0.000000,OK
categorias_n1 soma RECEITA - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,-0.000000,OK
categorias_n1 soma QTD_ARMAZENAGEM - REDE_FISICA_SEM_LOJA93,4544807.610000,4544807.610000,0.000000,OK
categorias_n1 soma TRANSACOES - REDE_FISICA_SEM_LOJA93,1065507.000000,1065507.000000,0.000000,OK
lojas soma RECEITA - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,0.000000,OK
lojas soma QTD_ARMAZENAGEM - REDE_FISICA_SEM_LOJA93,4544807.610000,4544807.610000,0.000000,OK
lojas soma TRANSACOES - REDE_FISICA_SEM_LOJA93,1065507.000000,1065507.000000,0.000000,OK
mensal soma RECEITA - REDE_FISICA_SEM_LOJA93,329234755.542707,329234755.542707,0.000000,OK
mensal soma QTD_ARMAZENAGEM - REDE_FISICA_SEM_LOJA93,4544807.610000,4544807.610000,0.000000,OK
mensal soma TRANSACOES - REDE_FISICA_SEM_LOJA93,1065507.000000,1065507.000000,0.000000,OK
Produtos ativos no ranking - REDE_FISICA_SEM_LOJA93,2729.000000,2729.000000,0.000000,OK
Ranking receita sem duplicidade de produto - REDE_FISICA_SEM_LOJA93,1.000000,1.000000,0.000000,OK
Ranking quantidade sem duplicidade de produto - REDE_FISICA_SEM_LOJA93,1.000000,1.000000,0.000000,OK
Serie mensal com 24 meses - REDE_FISICA_SEM_LOJA93,1.000000,1.000000,0.000000,OK
Curva ABC soma 100% receita - REDE_FISICA_SEM_LOJA93,100.000000,100.000000,0.000000,OK
Decomposicao categorias soma delta receita - REDE_FISICA_SEM_LOJA93,-102843627.249125,-102843627.249125,-0.000000,OK
Decomposicao lojas soma delta receita - REDE_FISICA_SEM_LOJA93,-102843627.249125,-102843627.249125,0.000000,OK
Rede completa contém 23 categorias NIVEL_1,23.000000,23.000000,0.000000,OK
Impacto Loja 93 + rede fisica fecha RECEITA,482515748.115843,482515748.115843,0.000000,OK
Impacto Loja 93 + rede fisica fecha QTD_ARMAZENAGEM,4641883.610000,4641883.610000,-0.000000,OK
Impacto Loja 93 + rede fisica fecha TRANSACOES,1090390.000000,1090390.000000,0.000000,OK
