NIVEL_1,RECEITA,QTD_ARMAZENAGEM,TRANSACOES,SKUS_ATIVOS,UNIVERSO,PRECO_MEDIO_ARMAZENAGEM,TICKET_MEDIO_TRANSACAO,PARTICIPACAO_RECEITA_PCT,PARTICIPACAO_QTD_PCT,QTD_ARMAZENAGEM_2024,QTD_ARMAZENAGEM_2025,RECEITA_2024,RECEITA_2025,TRANSACOES_2024,TRANSACOES_2025,DELTA_RECEITA_2025_VS_2024,VAR_RECEITA_2025_VS_2024_PCT,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,VAR_QTD_ARMAZENAGEM_2025_VS_2024_PCT,DELTA_TRANSACOES_2025_VS_2024,VAR_TRANSACOES_2025_VS_2024_PCT
J - JARDINAGEM,199296.713000,4772.000000,3043,7,REDE_COMPLETA,41.763771,65.493498,0.041304,0.102803,3935.000000,837.000000,155045.513000,44251.200000,2487,556,-110794.313000,-71.459219,-3098.000000,-78.729352,-1931,-77.643747
Y - EPI,86263.698500,5653.000000,1817,2,REDE_COMPLETA,15.259809,47.475894,0.017878,0.121782,4270.000000,1383.000000,62952.487500,23311.211000,1304,513,-39641.276500,-62.970151,-2887.000000,-67.611241,-791,-60.659509
D - ELETROS,81442197.072905,120308.000000,45846,286,REDE_FISICA_SEM_LOJA93,676.947477,1776.429723,24.736816,2.647153,91461.000000,28847.000000,56683110.506836,24759086.566069,31938,13908,-31924023.940768,-56.320170,-62614.000000,-68.459781,-18030,-56.453128
C - PISOS E REVESTIMENTOS,54643661.465974,779089.610000,43921,325,REDE_FISICA_SEM_LOJA93,70.137839,1244.135185,16.597173,17.142411,551213.840000,227875.770000,37030589.759499,17613071.706475,29409,14512,-19417518.053024,-52.436427,-323338.070000,-58.659280,-14897,-50.654562
I - ILUMINACAO,25321216.150395,556370.000000,121463,213,REDE_FISICA_SEM_LOJA93,45.511469,208.468555,7.690930,12.241882,339245.000000,217125.000000,16277789.099245,9043427.051150,74240,47223,-7234362.048095,-44.443149,-122120.000000,-35.997583,-27017,-36.391433
"K - CAMA, MESA E BANHO",23212282.177587,440229.000000,185127,358,REDE_FISICA_SEM_LOJA93,52.727744,125.385720,7.050374,9.686417,340644.000000,99585.000000,17333694.042854,5878588.134733,130334,54793,-11455105.908121,-66.085774,-241059.000000,-70.765667,-75541,-57.959550
B - UTILIDADES DOMESTICAS,22513813.983700,721870.000000,239045,529,REDE_FISICA_SEM_LOJA93,31.188183,94.182325,6.838225,15.883401,538868.000000,183002.000000,15560898.198090,6952915.785610,169679,69366,-8607982.412480,-55.318031,-355866.000000,-66.039550,-100313,-59.119278
R - ELETRONICOS,21132001.439016,9770.000000,5198,28,REDE_FISICA_SEM_LOJA93,2162.947947,4065.410050,6.418521,0.214971,3552.000000,6218.000000,7155970.875066,13976030.563950,1893,3305,6820059.688884,95.305861,2666.000000,75.056306,1412,74.590597
U - METAIS E ACESSORIOS,20361396.718842,275018.000000,92116,142,REDE_FISICA_SEM_LOJA93,74.036597,221.040826,6.184462,6.051257,194971.000000,80047.000000,13972894.058080,6388502.660761,60623,31493,-7584391.397319,-54.279317,-114924.000000,-58.944151,-29130,-48.051070
S - TINTAS E QUIMICOS,18899431.247968,216422.000000,43300,65,REDE_FISICA_SEM_LOJA93,87.326756,436.476472,5.740412,4.761962,126417.000000,90005.000000,11418451.550886,7480979.697082,30042,13258,-3937471.853804,-34.483413,-36412.000000,-28.803088,-16784,-55.868451
O - MOVEIS,13649986.052500,58368.000000,34717,193,REDE_FISICA_SEM_LOJA93,233.860781,393.178732,4.145974,1.284279,40517.000000,17851.000000,9871559.038250,3778427.014250,23089,11628,-6093132.024000,-61.724111,-22666.000000,-55.941950,-11461,-49.638356
E - MATERIAIS ELETRICOS,11332398.322962,1054619.000000,123882,111,REDE_FISICA_SEM_LOJA93,10.745490,91.477360,3.442042,23.204921,547022.000000,507597.000000,6190250.553250,5142147.769712,70373,53509,-1048102.783539,-16.931508,-39425.000000,-7.207206,-16864,-23.963736
V - DECORACAO,7907238.679841,103941.000000,45357,127,REDE_FISICA_SEM_LOJA93,76.074299,174.333370,2.401702,2.287028,77783.000000,26158.000000,5519973.379841,2387265.300000,32045,13312,-3132708.079841,-56.752232,-51625.000000,-66.370544,-18733,-58.458418
F - FERRAMENTAS,7107013.035250,15320.000000,9579,21,REDE_FISICA_SEM_LOJA93,463.904245,741.936845,2.158646,0.337088,10666.000000,4654.000000,4124379.265750,2982633.769500,6429,3150,-1141745.496250,-27.682844,-6012.000000,-56.366023,-3279,-51.003266
"G - PORTAS, JANELAS E FECHADURAS",5242924.637250,31977.000000,13480,39,REDE_FISICA_SEM_LOJA93,163.959241,388.940997,1.592458,0.703594,24815.000000,7162.000000,3681818.620500,1561106.016750,10042,3438,-2120712.603750,-57.599595,-17653.000000,-71.138424,-6604,-65.763792
W - LOUCAS E PIAS,4733143.460500,13094.000000,9565,90,REDE_FISICA_SEM_LOJA93,361.474222,494.839881,1.437620,0.288109,9779.000000,3315.000000,3611369.156500,1121774.304000,6984,2581,-2489594.852500,-68.937700,-6464.000000,-66.100828,-4403,-63.044101
N - INDUSTRIAL E NEGOCIOS,4181763.530000,15745.000000,8105,72,REDE_FISICA_SEM_LOJA93,265.593111,515.948616,1.270146,0.346439,11940.000000,3805.000000,2099409.224500,2082354.305500,5653,2452,-17054.919000,-0.812368,-8135.000000,-68.132328,-3201,-56.624801
M - MAQUINAS E MOTORES,3623899.009500,2631.000000,2263,21,REDE_FISICA_SEM_LOJA93,1377.384648,1601.369425,1.100704,0.057890,2194.000000,437.000000,2917242.342000,706656.667500,1855,408,-2210585.674500,-75.776552,-1757.000000,-80.082042,-1447,-78.005391
A - AUTOMOTIVO,1337411.032250,23650.000000,8099,19,REDE_FISICA_SEM_LOJA93,56.550149,165.132860,0.406218,0.520374,13536.000000,10114.000000,862541.537000,474869.495250,4614,3485,-387672.041750,-44.945319,-3422.000000,-25.280733,-1129,-24.469007
"L - INFANTIL, LAZER E PETS",827989.295000,11707.000000,7652,27,REDE_FISICA_SEM_LOJA93,70.726001,108.205606,0.251489,0.257591,8951.000000,2756.000000,584430.283500,243559.011500,5685,1967,-340871.272000,-58.325395,-6195.000000,-69.210144,-3718,-65.400176
Q - BASICOS CONSTRUCAO,758460.571750,52730.000000,12157,22,REDE_FISICA_SEM_LOJA93,14.383853,62.388794,0.230371,1.160225,28286.000000,24444.000000,389233.363750,369227.208000,6349,5808,-20006.155750,-5.139887,-3842.000000,-13.582691,-541,-8.521027
H - TUBOS E CONEXOES,499932.132000,19428.000000,7981,26,REDE_FISICA_SEM_LOJA93,25.732558,62.640287,0.151847,0.427477,12570.000000,6858.000000,342201.646500,157730.485500,4947,3034,-184471.161000,-53.907152,-5712.000000,-45.441527,-1913,-38.669901
T - ARTIGOS DE EPOCA,221035.116017,12096.000000,1794,6,REDE_FISICA_SEM_LOJA93,18.273406,123.207980,0.067136,0.266150,8576.000000,3520.000000,193386.893517,27648.222500,1218,576,-165738.671017,-85.703156,-5056.000000,-58.955224,-642,-52.709360
J - JARDINAGEM,199296.713000,4772.000000,3043,7,REDE_FISICA_SEM_LOJA93,41.763771,65.493498,0.060533,0.104999,3935.000000,837.000000,155045.513000,44251.200000,2487,556,-110794.313000,-71.459219,-3098.000000,-78.729352,-1931,-77.643747
Y - EPI,86263.698500,5653.000000,1817,2,REDE_FISICA_SEM_LOJA93,15.259809,47.475894,0.026201,0.124384,4270.000000,1383.000000,62952.487500,23311.211000,1304,513,-39641.276500,-62.970151,-2887.000000,-67.611241,-791,-60.659509
