UNIVERSO,ACAO_PRIMARIA,NIVEL_1,PARES,SKUS,RECEITA_HISTORICA,VALOR_FINANCEIRO_CONHECIDO
REDE_COMPLETA,DESCONTINUAR,R - ELETRONICOS,2,1,0.000000,
REDE_COMPLETA,DESCONTINUAR,S - TINTAS E QUIMICOS,2,2,0.000000,
REDE_COMPLETA,DESCONTINUAR,"L - INFANTIL, LAZER E PETS",1,1,0.000000,
REDE_COMPLETA,PROMOVER,B - UTILIDADES DOMESTICAS,239,159,1053531.580325,255925.753600
REDE_COMPLETA,PROMOVER,I - ILUMINACAO,126,90,1768773.889774,2052707.910747
REDE_COMPLETA,PROMOVER,D - ELETROS,65,55,1025070.779687,2101812.129000
REDE_COMPLETA,PROMOVER,E - MATERIAIS ELETRICOS,59,50,33571.335000,483108.281200
REDE_COMPLETA,PROMOVER,O - MOVEIS,57,49,599406.433500,484942.851000
REDE_COMPLETA,PROMOVER,C - PISOS E REVESTIMENTOS,56,48,632921.273383,1231007.117788
REDE_COMPLETA,PROMOVER,"K - CAMA, MESA E BANHO",54,41,562894.017593,17053.611600
REDE_COMPLETA,PROMOVER,U - METAIS E ACESSORIOS,27,22,408128.486134,51772.944000
REDE_COMPLETA,PROMOVER,V - DECORACAO,25,18,67125.030000,3930.516000
REDE_COMPLETA,PROMOVER,"L - INFANTIL, LAZER E PETS",17,13,52418.667000,57159.087600
REDE_COMPLETA,PROMOVER,"G - PORTAS, JANELAS E FECHADURAS",12,10,45240.510000,6747.320000
REDE_COMPLETA,PROMOVER,N - INDUSTRIAL E NEGOCIOS,9,8,29928.990000,
REDE_COMPLETA,PROMOVER,F - FERRAMENTAS,7,5,25212.274500,
REDE_COMPLETA,PROMOVER,R - ELETRONICOS,4,2,169673.280000,
REDE_COMPLETA,PROMOVER,W - LOUCAS E PIAS,4,4,21210.315000,
REDE_COMPLETA,PROMOVER,M - MAQUINAS E MOTORES,3,2,49346.419500,
REDE_COMPLETA,PROMOVER,Q - BASICOS CONSTRUCAO,2,2,2279.340000,
REDE_COMPLETA,PROMOVER,S - TINTAS E QUIMICOS,2,2,2737.980000,
REDE_COMPLETA,PROMOVER,A - AUTOMOTIVO,1,1,0.000000,
REDE_COMPLETA,PROMOVER,J - JARDINAGEM,1,1,2517.585000,
REDE_COMPLETA,PROMOVER,T - ARTIGOS DE EPOCA,1,1,1283.310000,2570.824800
REDE_COMPLETA,PROMOVER,Y - EPI,1,1,801.160500,
REDE_COMPLETA,REPRECIFICAR,D - ELETROS,258,107,78673971.011746,
REDE_COMPLETA,REPRECIFICAR,B - UTILIDADES DOMESTICAS,134,40,5245384.200542,
REDE_COMPLETA,REPRECIFICAR,"K - CAMA, MESA E BANHO",109,30,3232068.133690,
REDE_COMPLETA,REPRECIFICAR,C - PISOS E REVESTIMENTOS,100,70,1524742.269120,
REDE_COMPLETA,REPRECIFICAR,O - MOVEIS,84,47,3169418.187833,
REDE_COMPLETA,REPRECIFICAR,I - ILUMINACAO,68,25,3614057.531235,
REDE_COMPLETA,REPRECIFICAR,R - ELETRONICOS,54,17,26443949.040489,
REDE_COMPLETA,REPRECIFICAR,U - METAIS E ACESSORIOS,41,15,1931099.161435,
REDE_COMPLETA,REPRECIFICAR,W - LOUCAS E PIAS,34,27,87108.714000,
REDE_COMPLETA,REPRECIFICAR,V - DECORACAO,31,13,814152.446773,
REDE_COMPLETA,REPRECIFICAR,E - MATERIAIS ELETRICOS,20,4,1821908.092012,
REDE_COMPLETA,REPRECIFICAR,N - INDUSTRIAL E NEGOCIOS,18,15,525265.786500,
REDE_COMPLETA,REPRECIFICAR,"G - PORTAS, JANELAS E FECHADURAS",14,7,872470.989250,
REDE_COMPLETA,REPRECIFICAR,A - AUTOMOTIVO,6,4,3463.845000,
