UNIVERSO_OPERACIONAL,COD_EMPRESA,CD_CIDADE,CD_ESTADO,CODIGO,DESCRICAO,NIVEL_1,CURVA_ABC_RECEITA,CURVA_ABC_ORIGEM,REPRICING_N_EMBALAGENS,REPRICING_FAIXA,SINAL_MARGEM_AUDITAVEL,SINAL_PRECO_LISTA,FLAG_CUSTO_VALIDO,MARGEM_BRUTA_PCT_COM_CUSTO,FLAG_MARGEM_NEGATIVA,REPRICING_RECEITA,ACAO_PRIMARIA,FAIXA_PRIORIDADE
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,344180,CAFET.CAPS.15B         VERSA VM M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,142079.700000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,446034,FECH.DIG.SOB.                 FSP100,"G - PORTAS, JANELAS E FECHADURAS",A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,142014.852000,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,22.749416,0,141900.994487,REPRECIFICAR,MEDIA
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,441981,LUSTRE LED 3EM1 45W   RS LP-02R 5183,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,40.103049,0,139629.021000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,487012,TV LED 65 UHD SMT 4K QNED 65QNED80TS,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,138599.443500,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,8,CARUARU,PE,429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,22.749416,0,137511.382125,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,489647,PANELA PRESSAO ANTIAD.4.5L   5306897,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,136993.691625,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,429459,INT.SPL CJ.1S 10A         LGZ010 POP,E - MATERIAIS ELETRICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,32.887214,0,136730.197500,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,452735,FOGAO PISO 4B TOP GLASS      PT MBIV,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,136505.775000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,7,NATAL,RN,489647,PANELA PRESSAO ANTIAD.4.5L   5306897,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,135943.647000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,344180,CAFET.CAPS.15B         VERSA VM M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,132043.380000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,429203,FOGAO PISO 4B TOP GLASS      BR MBIV,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,131490.906750,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,5,ARACAJU,SE,441981,LUSTRE LED 3EM1 45W   RS LP-02R 5183,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,40.103049,0,130596.690000,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,489647,PANELA PRESSAO ANTIAD.4.5L   5306897,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,127292.717377,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,429455,TOM.CJ.1T 2P+T 10A        LGX030 POP,E - MATERIAIS ELETRICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,1,22.749416,0,125735.404680,REPRECIFICAR,BAIXA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,307173,PLAFON VID.FS  BR/BR 25CM   CL725PBN,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,122220.829750,REPRECIFICAR,BAIXA
