ESCOPO_PRIORIZACAO,RANK_PRIORIDADE_ESCOPO,FAIXA_PRIORIDADE,UNIVERSO,COD_EMPRESA,CD_CIDADE,CD_ESTADO,TIPO_OPERACAO,FLAG_LOJA93,NIVEL_1,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,PART_RECEITA_RISCO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,PARES_LOJA_PRODUTO,PARES_RUPTURA_CRITICO,PARES_EM_RUPTURA,PARES_CRITICO,PCT_PARES_RUPTURA_CRITICO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,PARES_DIAS_COBERTURA_INFINITO,ACAO_RECOMENDADA,EVIDENCIA_PRIORIZACAO
REDE_FISICA_SEM_LOJA93,11,ALTA,REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,REDE_FISICA,0,S - TINTAS E QUIMICOS,5096524.007149,5096524.007149,100.000000,1.547991,65,65,64,1,100.000000,0.192308,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 65 pares em ruptura/crítico de S - TINTAS E QUIMICOS na loja 3 (SALVADOR-BA).,"Receita histórica associada aos pares em ruptura/crítico: R$ 5.096.524,01; 100,0% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,12,ALTA,REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,REDE_FISICA,0,R - ELETRONICOS,4819086.920492,4769500.575992,98.971043,1.448663,25,23,22,1,92.000000,2.833333,0.000000,1,Validar saldo físico/transferências e priorizar a reposição dos 23 pares em ruptura/crítico de R - ELETRONICOS na loja 92 (CABO DE SANTO AGOSTINHO-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 4.769.500,58; 92,0% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,13,ALTA,REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,REDE_FISICA,0,"K - CAMA, MESA E BANHO",4745091.396175,4745091.396175,100.000000,1.441249,358,358,356,2,100.000000,0.125256,0.000000,0,"Validar saldo físico/transferências e priorizar a reposição dos 358 pares em ruptura/crítico de K - CAMA, MESA E BANHO na loja 4 (RECIFE-PE).","Receita histórica associada aos pares em ruptura/crítico: R$ 4.745.091,40; 100,0% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,14,ALTA,REDE_FISICA_SEM_LOJA93,5,ARACAJU,SE,REDE_FISICA,0,C - PISOS E REVESTIMENTOS,4328541.469840,4319726.026840,99.796341,1.312050,296,289,286,3,97.635135,10.533644,0.000000,1,Validar saldo físico/transferências e priorizar a reposição dos 289 pares em ruptura/crítico de C - PISOS E REVESTIMENTOS na loja 5 (ARACAJU-SE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 4.319.726,03; 97,6% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,15,ALTA,REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,REDE_FISICA,0,U - METAIS E ACESSORIOS,4442220.157691,4213823.253363,94.858497,1.279884,144,130,126,4,90.277778,23.108309,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 130 pares em ruptura/crítico de U - METAIS E ACESSORIOS na loja 3 (SALVADOR-BA).,"Receita histórica associada aos pares em ruptura/crítico: R$ 4.213.823,25; 90,3% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,16,ALTA,REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,REDE_FISICA,0,I - ILUMINACAO,5086503.177484,4194572.949757,82.464766,1.274037,213,172,167,5,80.751174,65.541077,0.000000,1,Validar saldo físico/transferências e priorizar a reposição dos 172 pares em ruptura/crítico de I - ILUMINACAO na loja 2 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 4.194.572,95; 80,8% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,17,ALTA,REDE_FISICA_SEM_LOJA93,5,ARACAJU,SE,REDE_FISICA,0,D - ELETROS,4162614.154736,3997167.954236,96.025426,1.214078,274,257,253,4,93.795620,137.238350,0.000000,6,Validar saldo físico/transferências e priorizar a reposição dos 257 pares em ruptura/crítico de D - ELETROS na loja 5 (ARACAJU-SE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.997.167,95; 93,8% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,18,ALTA,REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,REDE_FISICA,0,I - ILUMINACAO,4132013.040122,3975918.307622,96.222308,1.207624,212,196,192,4,92.452830,8.448709,0.000000,3,Validar saldo físico/transferências e priorizar a reposição dos 196 pares em ruptura/crítico de I - ILUMINACAO na loja 4 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.975.918,31; 92,5% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,19,ALTA,REDE_FISICA_SEM_LOJA93,1,GARANHUNS,PE,REDE_FISICA,0,C - PISOS E REVESTIMENTOS,3864308.444955,3862155.734955,99.944292,1.173070,296,293,283,10,98.986486,1.072702,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 293 pares em ruptura/crítico de C - PISOS E REVESTIMENTOS na loja 1 (GARANHUNS-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.862.155,73; 99,0% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,20,ALTA,REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,REDE_FISICA,0,S - TINTAS E QUIMICOS,3567199.818847,3530864.358847,98.981401,1.072446,65,64,64,0,98.461538,1.174825,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 64 pares em ruptura/crítico de S - TINTAS E QUIMICOS na loja 2 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.530.864,36; 98,5% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,21,ALTA,REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,REDE_FISICA,0,B - UTILIDADES DOMESTICAS,3861617.646705,3393281.622155,87.872025,1.030657,525,445,429,16,84.761905,44.156585,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 445 pares em ruptura/crítico de B - UTILIDADES DOMESTICAS na loja 4 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.393.281,62; 84,8% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,22,ALTA,REDE_FISICA_SEM_LOJA93,8,CARUARU,PE,REDE_FISICA,0,D - ELETROS,3390495.192720,3384214.197720,99.814747,1.027903,275,272,271,1,98.909091,0.304856,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 272 pares em ruptura/crítico de D - ELETROS na loja 8 (CARUARU-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.384.214,20; 98,9% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,23,MÉDIA,REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,REDE_FISICA,0,B - UTILIDADES DOMESTICAS,3861429.890284,3266972.621734,84.605255,0.992293,523,406,385,21,77.629063,125.139499,0.000000,4,Validar saldo físico/transferências e priorizar a reposição dos 406 pares em ruptura/crítico de B - UTILIDADES DOMESTICAS na loja 2 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.266.972,62; 77,6% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,24,MÉDIA,REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,REDE_FISICA,0,"K - CAMA, MESA E BANHO",3666701.859344,3265577.353762,89.060346,0.991869,358,336,334,2,93.854749,17.957559,0.000000,0,"Validar saldo físico/transferências e priorizar a reposição dos 336 pares em ruptura/crítico de K - CAMA, MESA E BANHO na loja 2 (RECIFE-PE).","Receita histórica associada aos pares em ruptura/crítico: R$ 3.265.577,35; 93,9% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,25,MÉDIA,REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,REDE_FISICA,0,U - METAIS E ACESSORIOS,3370779.547681,3240562.892875,96.136898,0.984271,143,137,135,2,95.804196,18.539764,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 137 pares em ruptura/crítico de U - METAIS E ACESSORIOS na loja 2 (RECIFE-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.240.562,89; 95,8% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,26,MÉDIA,REDE_FISICA_SEM_LOJA93,1,GARANHUNS,PE,REDE_FISICA,0,D - ELETROS,3168610.119492,3168338.274492,99.991421,0.962334,276,273,271,2,98.913043,0.547445,0.000000,2,Validar saldo físico/transferências e priorizar a reposição dos 273 pares em ruptura/crítico de D - ELETROS na loja 1 (GARANHUNS-PE).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.168.338,27; 98,9% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,27,MÉDIA,REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,REDE_FISICA,0,I - ILUMINACAO,3189368.998831,3086155.720831,96.763834,0.937372,210,199,196,3,94.761905,20.491503,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 199 pares em ruptura/crítico de I - ILUMINACAO na loja 6 (JOAO PESSOA-PB).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.086.155,72; 94,8% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,28,MÉDIA,REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,REDE_FISICA,0,"K - CAMA, MESA E BANHO",3464247.195802,3045243.377458,87.904910,0.924946,353,340,328,12,96.317280,11.221173,0.000000,0,"Validar saldo físico/transferências e priorizar a reposição dos 340 pares em ruptura/crítico de K - CAMA, MESA E BANHO na loja 3 (SALVADOR-BA).","Receita histórica associada aos pares em ruptura/crítico: R$ 3.045.243,38; 96,3% dos pares da categoria na loja estão em ruptura/crítico."
REDE_FISICA_SEM_LOJA93,29,MÉDIA,REDE_FISICA_SEM_LOJA93,9,SALVADOR,BA,REDE_FISICA,0,D - ELETROS,3043989.439402,3043989.439402,100.000000,0.924565,286,286,286,0,100.000000,0.000000,0.000000,0,Validar saldo físico/transferências e priorizar a reposição dos 286 pares em ruptura/crítico de D - ELETROS na loja 9 (SALVADOR-BA).,"Receita histórica associada aos pares em ruptura/crítico: R$ 3.043.989,44; 100,0% dos pares da categoria na loja estão em ruptura/crítico."
