UNIVERSO,NIVEL_1,NIVEL_2,NIVEL_3,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_COMPLETA,D - ELETROS,DA - AR E VENTILACAO,DAB - VENTILADORES DE MESA,88,8,11,7388923.256197,7322523.903947,7322523.903947,0.000000,76,50,38,81,7,746.651852,0.000000,0.000000,0.000000,-18147.000000,0.000000,1855.826728,76,0,0,5,7,86.363636,86.363636,0.000000,7.954545,43.181818,99.101366,1.531333,1.517572,7388923.256197,4251,8,1.531333,-80.803360,-0.000000,12
REDE_COMPLETA,I - ILUMINACAO,IB - RESIDENCIAL,IBA - LUSTRES E PENDENTES,620,59,11,6470069.797000,5670043.897000,5586394.702000,83649.195000,548,491,129,590,30,12.953102,0.000000,0.000000,0.000000,-14746.000000,-6.000000,2437.890348,537,11,14,28,30,88.387097,86.612903,1.774194,4.838710,20.806452,87.634973,1.340903,1.175100,6470069.797000,17420,59,1.340903,-70.755285,0.000000,13
REDE_COMPLETA,I - ILUMINACAO,IA - LAMPADAS,IAA - LAMPADAS LED,344,32,11,6238075.658802,5255607.348526,5216160.042026,39447.306500,301,258,86,325,19,71.575954,0.000000,0.000000,0.000000,-114579.000000,-70.500000,13294.188638,299,2,2,22,19,87.500000,86.918605,0.581395,5.523256,25.000000,84.250459,1.292823,1.089209,6238075.658802,50580,32,1.292823,-7.560739,0.000000,14
REDE_COMPLETA,"K - CAMA, MESA E BANHO",KC - BANHO,KCA - TOALHAS DE BANHO,860,86,11,4853043.454083,4835979.169083,4809223.450583,26755.718500,856,753,107,860,0,1.189509,0.000000,0.000000,0.000000,-70255.000000,-47.000000,6666.488262,849,7,2,2,0,99.534884,98.720930,0.813953,0.000000,12.441860,99.648380,1.005779,1.002243,4853043.454083,42957,86,1.005779,-39.858244,0.000000,15
REDE_COMPLETA,F - FERRAMENTAS,"FA - GOLPE, PERFURACAO E FIXACAO ELETRICA",FAC - MARTELETES E MARTELOS ELETRICOS,33,3,11,4381410.341000,4381410.341000,4381410.341000,0.000000,32,21,12,32,1,0.000000,0.000000,0.000000,0.000000,-4157.000000,-15.000000,218.501056,32,0,0,0,1,96.969697,96.969697,0.000000,3.030303,36.363636,100.000000,0.908035,0.908035,4381410.341000,3217,3,0.908035,15.122020,0.000000,16
REDE_COMPLETA,"K - CAMA, MESA E BANHO",KC - BANHO,KCD - JOGOS DE TOALHAS,377,39,11,4425363.674586,4315722.801111,4239649.314111,76073.487000,357,342,35,376,1,6.980583,0.000000,0.000000,0.000000,-42269.000000,-43.000000,6284.352820,346,11,6,13,1,94.694960,91.777188,2.917772,0.265252,9.283820,97.522444,0.917144,0.894421,4425363.674586,22120,39,0.917144,-76.759477,-0.000000,17
REDE_COMPLETA,"K - CAMA, MESA E BANHO",KA - CAMA,KAA - JOGOS DE LENCOIS,522,52,11,4394351.780000,4284711.704000,4269861.449000,14850.255000,481,462,60,522,0,15.533885,0.000000,0.000000,0.000000,-28209.000000,-9.000000,2774.995382,473,8,18,23,0,92.145594,90.613027,1.532567,0.000000,11.494253,97.504977,0.910717,0.887994,4394351.780000,20311,52,0.910717,-48.141850,0.000000,18
REDE_COMPLETA,V - DECORACAO,VF - CORTINAS,VFA - CORTINAS,402,41,11,3984680.208568,3984450.258568,3980014.323568,4435.935000,401,365,37,402,0,0.183697,0.000000,0.000000,0.000000,-25018.000000,-26.000000,2442.897040,400,1,1,0,0,99.751244,99.502488,0.248756,0.000000,9.203980,99.994229,0.825814,0.825766,3984680.208568,14983,41,0.825814,-52.844846,0.000000,19
REDE_COMPLETA,U - METAIS E ACESSORIOS,UC - ACESSORIOS PARA BANHEIRO,UCB - ACESSORIOS PARA BANHEIRO,309,29,11,3748404.685080,3731476.291080,3687710.160334,43766.130746,302,252,57,307,2,1.606845,0.000000,0.000000,0.000000,-52437.000000,-42.000000,3369.192635,298,4,3,2,2,97.734628,96.440129,1.294498,0.647249,18.446602,99.548384,0.776846,0.773338,3748404.685080,24739,29,0.776846,-15.509956,-0.000000,20
REDE_COMPLETA,U - METAIS E ACESSORIOS,"UB - TORNEIRAS, BICAS E MISTURADORES",UBN - TORNEIRAS LAVATÓRIO,66,6,11,3569214.031508,3558506.446508,3557879.596508,626.850000,63,52,14,65,1,8.685315,0.000000,0.000000,0.000000,-13609.000000,-17.500000,883.332394,62,1,1,1,1,95.454545,93.939394,1.515152,1.515152,21.212121,99.700002,0.739709,0.737490,3569214.031508,7324,6,0.739709,-30.724298,0.000000,21
REDE_COMPLETA,S - TINTAS E QUIMICOS,SA - TINTAS,SAB - TINTAS MANIPULADAS,88,8,11,3276249.893925,3271529.776425,3271529.776425,0.000000,87,72,16,88,0,0.818182,0.000000,0.000000,0.000000,-14438.000000,-42.500000,768.434331,87,0,1,0,0,98.863636,98.863636,0.000000,0.000000,18.181818,99.855929,0.678993,0.678015,3276249.893925,9058,8,0.678993,-40.819196,0.000000,22
REDE_COMPLETA,I - ILUMINACAO,ID - JARDIM,IDE - REFLETORES,108,10,11,3294491.394122,3248927.729122,3233811.929122,15115.800000,93,87,21,99,9,198.006954,0.000000,0.000000,0.000000,-47068.000000,-65.000000,4139.438934,91,2,2,4,9,86.111111,84.259259,1.851852,8.333333,19.444444,98.616974,0.682774,0.673331,3294491.394122,10264,10,0.682774,-18.398788,0.000000,23
REDE_COMPLETA,S - TINTAS E QUIMICOS,SA - TINTAS,SAA - TINTAS ACRILICAS E PVA,251,23,11,3233824.804000,3160445.029000,3088844.122000,71600.907000,245,205,46,250,1,9.323432,0.000000,0.000000,0.000000,-14390.000000,-15.000000,1611.955139,239,6,3,2,1,97.609562,95.219124,2.390438,0.398406,18.326693,97.730867,0.670201,0.654993,3233824.804000,11406,23,0.670201,-76.814129,0.000000,24
REDE_COMPLETA,U - METAIS E ACESSORIOS,UA - DUCHAS E CHUVEIROS,UAA - CHUVEIROS,165,15,11,3425709.309386,3130156.280058,2868117.595558,262038.684500,152,105,60,157,8,14.234219,0.000000,0.000000,0.000000,-9642.000000,-2.000000,1762.938996,149,3,1,4,8,92.121212,90.303030,1.818182,4.848485,36.363636,91.372501,0.709968,0.648716,3425709.309386,7902,15,0.709968,-89.370762,-0.000000,25
REDE_COMPLETA,D - ELETROS,DA - AR E VENTILACAO,DAN - VENTILADORES DE PAREDE,22,2,11,3101899.587884,3092377.263884,3092377.263884,0.000000,20,13,9,20,2,0.000000,0.000000,0.000000,0.000000,-11034.000000,-14.000000,595.872932,20,0,0,0,2,90.909091,90.909091,0.000000,9.090909,40.909091,99.693016,0.642860,0.640886,3101899.587884,2662,2,0.642860,-55.435558,-0.000000,26
REDE_COMPLETA,D - ELETROS,DA - AR E VENTILACAO,DAC - VENTILADORES DE TETO,77,7,11,3132584.430101,3091896.814601,3089011.099601,2885.715000,73,41,36,74,3,1.187711,0.000000,0.000000,0.000000,-9462.000000,0.000000,790.576033,71,2,1,0,3,94.805195,92.207792,2.597403,3.896104,46.753247,98.701149,0.649219,0.640787,3132584.430101,3737,7,0.649219,-88.354051,-0.000000,27
REDE_COMPLETA,U - METAIS E ACESSORIOS,UA - DUCHAS E CHUVEIROS,UAE - DUCHAS HIGIENICAS,55,5,11,3076265.999149,3042530.118649,3042530.118649,0.000000,50,29,26,53,2,6.667373,0.000000,0.000000,0.000000,-12146.000000,0.000000,980.784881,50,0,2,1,2,90.909091,90.909091,0.000000,3.636364,47.272727,98.903350,0.637547,0.630556,3076265.999149,4839,4,0.637547,-77.264325,-0.000000,28
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,NB - REFRIGERACAO E CONSERVACAO INDUSTRIAL,NBC - CONSERVADORES E FREEZERS,179,18,11,2940355.656000,2863437.633000,2845146.843000,18290.790000,168,123,56,170,9,1.455882,0.000000,0.000000,0.000000,-687.000000,-1.000000,149.638095,166,2,1,1,9,93.854749,92.737430,1.117318,5.027933,31.284916,97.384057,0.609380,0.593439,2940355.656000,626,18,0.609380,-24.831437,0.000000,29
