COD_EMPRESA,CODIGO,ESTOQUE_PROJ,VENDA_MEDIA_MES,DIAS_COBERTURA,RECEITA_TOTAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO,STATUS_ESTOQUE
9,438179,-4.0,1.3333333333333333,-90.0,1143.135,MESA ESCR 1.20X0.76 1G 1P         CH,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,438180,-2.0,1.0,-60.0,1196.79,MESA ESCR.1.38X1.38 2G      CHUMBO,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,438181,-4.0,1.3333333333333333,-90.0,1100.19,MESA ESCR.0.95X0.76 1G            CH,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,438745,-23.0,2.3,-300.0,631.785,PORTA-TRAVESSEIRO PERCAL 200FIOS  AM,"K - CAMA, MESA E BANHO",SALVADOR,BA,EM RUPTURA
9,438788,0.0,0.0,inf,,"REVEST.A 10X20 BRK20130       2,00M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,438880,-2.0,1.0,-60.0,818.79,ARMARIO AEREO 0.80 1P        FRJ/OFW,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,438881,-3.0,1.0,-90.0,1049.685,ARMARIO AEREO 0.80 1P         FRJ/GRAF,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,439120,-43.0,3.5833333333333335,-360.0,1341.585,P.SABONETE PLS 400ML      CH PSG 723,U - METAIS E ACESSORIOS,SALVADOR,BA,EM RUPTURA
9,439131,-31.0,2.3846153846153846,-390.0,973.245,P.ESCOVA PLS C/T          CZ PEG 722,U - METAIS E ACESSORIOS,SALVADOR,BA,EM RUPTURA
9,439243,-49.0,4.454545454545454,-330.00000000000006,17703.903,LIQUID.5V 1200W    RI2240/91 PT M127,D - ELETROS,SALVADOR,BA,EM RUPTURA
9,439244,-1.0,1.0,-30.0,346.395,LIQUID.5V 1200W    RI2240/90 PT M220,D - ELETROS,SALVADOR,BA,EM RUPTURA
9,439331,-628.0,34.888888888888886,-540.0,31043.88381818182,MANTA CASAL MICROF.180X220 SORTIDA 2,"K - CAMA, MESA E BANHO",SALVADOR,BA,EM RUPTURA
9,439366,0.0,0.0,inf,,PRATO RASO CER.28CM         7514-101,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
