UNIVERSO,PARES_LOJA_SKU,SKUS,LOJAS,RECEITA_HISTORICA_TOTAL,PARES_RUPTURA_CRITICO,RECEITA_RUPTURA_CRITICO,PARES_COM_COMPRA_RECOMENDADA,SKUS_COM_COMPRA_RECOMENDADA,QTD_RECOMENDADA_ARM,DEMANDA_90D_ARM,INVESTIMENTO_ESTIMADO_COM_CUSTO,PARES_COMPRA_COM_CUSTO,PARES_COMPRA_SEM_CUSTO,COBERTURA_CUSTO_PARES_COMPRA_PCT,RECEITA_POTENCIAL_90D
REDE_COMPLETA,28721,2731,11,482515748.115843,26735,466785693.158432,20357,2729,1019914.000000,1022463.424404,7719604.019171,1969,18388,9.672349,140916873.733135
REDE_FISICA_SEM_LOJA93,26395,2731,10,329234755.542707,24481,316347573.286867,20061,2729,993649.000000,995970.426378,5665536.435971,1954,18107,9.740292,100826647.449182
LOJA_93_ATACADO_B2B,2326,2326,1,153280992.573136,2254,150438119.871564,296,296,26265.000000,26492.998026,2054067.583200,15,281,5.067568,40090226.283953
