UNIVERSO,NIVEL_1,PARES_LOJA_SKU,SKUS,RECEITA_HISTORICA_TOTAL,PARES_COM_COMPRA_RECOMENDADA,SKUS_COM_COMPRA_RECOMENDADA,QTD_RECOMENDADA_ARM,INVESTIMENTO_ESTIMADO_COM_CUSTO,PARES_COMPRA_COM_CUSTO,PARES_COMPRA_SEM_CUSTO,COBERTURA_CUSTO_PARES_COMPRA_PCT
REDE_FISICA_SEM_LOJA93,O - MOVEIS,1849,193,13649986.052500,1433,193,14262.000000,379951.252400,103,1330,7.187718
REDE_FISICA_SEM_LOJA93,B - UTILIDADES DOMESTICAS,5111,529,22513813.983700,3745,529,155172.000000,158542.383400,81,3664,2.162884
REDE_FISICA_SEM_LOJA93,U - METAIS E ACESSORIOS,1423,144,20361396.718842,1107,142,54389.000000,58516.579200,8,1099,0.722674
REDE_FISICA_SEM_LOJA93,"L - INFANTIL, LAZER E PETS",262,27,827989.295000,207,27,3591.000000,56545.775200,77,130,37.198068
REDE_FISICA_SEM_LOJA93,"K - CAMA, MESA E BANHO",3399,358,23212282.177587,3029,358,104593.000000,34085.302400,93,2936,3.070320
REDE_FISICA_SEM_LOJA93,"G - PORTAS, JANELAS E FECHADURAS",386,39,5242924.637250,268,39,6820.000000,31051.960000,35,233,13.059701
REDE_FISICA_SEM_LOJA93,W - LOUCAS E PIAS,900,90,4733143.460500,683,90,4281.000000,8075.126400,7,676,1.024890
REDE_FISICA_SEM_LOJA93,T - ARTIGOS DE EPOCA,57,6,221035.116017,49,6,10587.000000,3874.341600,8,41,16.326531
REDE_FISICA_SEM_LOJA93,V - DECORACAO,1202,127,7907238.679841,1039,127,25497.000000,3671.358000,15,1024,1.443696
REDE_FISICA_SEM_LOJA93,S - TINTAS E QUIMICOS,648,65,18899431.247968,552,65,34029.000000,,0,552,0.000000
REDE_FISICA_SEM_LOJA93,Q - BASICOS CONSTRUCAO,220,22,758460.571750,185,22,9310.000000,,0,185,0.000000
REDE_FISICA_SEM_LOJA93,A - AUTOMOTIVO,189,19,1337411.032250,133,19,4656.000000,,0,133,0.000000
REDE_FISICA_SEM_LOJA93,N - INDUSTRIAL E NEGOCIOS,701,72,4181763.530000,493,72,3826.000000,,0,493,0.000000
REDE_FISICA_SEM_LOJA93,H - TUBOS E CONEXOES,260,26,499932.132000,113,26,3445.000000,,0,113,0.000000
REDE_FISICA_SEM_LOJA93,R - ELETRONICOS,254,28,21132001.439016,230,28,3420.000000,,0,230,0.000000
REDE_FISICA_SEM_LOJA93,F - FERRAMENTAS,208,21,7107013.035250,139,21,3059.000000,,0,139,0.000000
REDE_FISICA_SEM_LOJA93,J - JARDINAGEM,70,7,199296.713000,60,7,1070.000000,,0,60,0.000000
REDE_FISICA_SEM_LOJA93,Y - EPI,20,2,86263.698500,17,2,1024.000000,,0,17,0.000000
REDE_FISICA_SEM_LOJA93,M - MAQUINAS E MOTORES,210,21,3623899.009500,146,21,968.000000,,0,146,0.000000
